"OBÈINE","SKD DEJAVNOST","2021 (zaèasni podatki)"
"Muta","Q Zdravstvo in socialno varstvo",3290
"Muta","R Kulturne, razvedrilne in rekreacijske dejavnosti",764
"Muta","S Druge dejavnosti",22284
"Muta","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Muta","U Dejavnost eksteritorialnih organizacij in teles",0
"Muta","X Neznano",215146
"Naklo","SKD Dejavnost - SKUPAJ",17550298
"Naklo","A Kmetijstvo in lov, gozdarstvo, ribištvo",109124
"Naklo","B Rudarstvo",0
"Naklo","C Predelovalne dejavnosti",3695074
"Naklo","D Oskrba z elektrièno energijo, plinom in paro",362101
"Naklo","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",2335386
"Naklo","F Gradbeništvo",1463451
"Naklo","G Trgovina, vzdrževanje in popravila motornih vozil",5273200
"Naklo","H Promet in skladišèenje",200401
"Naklo","I Gostinstvo",889946
"Naklo","J Informacijske in komunikacijske dejavnosti",222893
"Naklo","K Finanène in zavarovalniške dejavnosti",0
"Naklo","L Poslovanje z nepremièninami",1292308
"Naklo","M Strokovne, znanstvene in tehniène dejavnosti",17676
"Naklo","N Druge raznovrstne poslovne dejavnosti",0
"Naklo","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",290345
"Naklo","P Izobraževanje",733587
"Naklo","Q Zdravstvo in socialno varstvo",283502
"Naklo","R Kulturne, razvedrilne in rekreacijske dejavnosti",29019
"Naklo","S Druge dejavnosti",67272
"Naklo","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Naklo","U Dejavnost eksteritorialnih organizacij in teles",0
"Naklo","X Neznano",285013
"Nazarje","SKD Dejavnost - SKUPAJ",21518466
"Nazarje","A Kmetijstvo in lov, gozdarstvo, ribištvo",2527
"Nazarje","B Rudarstvo",0
"Nazarje","C Predelovalne dejavnosti",17498413
"Nazarje","D Oskrba z elektrièno energijo, plinom in paro",240656
"Nazarje","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",141904
"Nazarje","F Gradbeništvo",417814
"Nazarje","G Trgovina, vzdrževanje in popravila motornih vozil",897925
"Nazarje","H Promet in skladišèenje",869049
"Nazarje","I Gostinstvo",383999
"Nazarje","J Informacijske in komunikacijske dejavnosti",178211
"Nazarje","K Finanène in zavarovalniške dejavnosti",0
"Nazarje","L Poslovanje z nepremièninami",222363
"Nazarje","M Strokovne, znanstvene in tehniène dejavnosti",38210
"Nazarje","N Druge raznovrstne poslovne dejavnosti",90384
"Nazarje","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",203852
"Nazarje","P Izobraževanje",78961
"Nazarje","Q Zdravstvo in socialno varstvo",66879
"Nazarje","R Kulturne, razvedrilne in rekreacijske dejavnosti",20831
"Nazarje","S Druge dejavnosti",24115
"Nazarje","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Nazarje","U Dejavnost eksteritorialnih organizacij in teles",0
"Nazarje","X Neznano",142373
"Nova Gorica","SKD Dejavnost - SKUPAJ",98244509
"Nova Gorica","A Kmetijstvo in lov, gozdarstvo, ribištvo",25979
"Nova Gorica","B Rudarstvo",0
"Nova Gorica","C Predelovalne dejavnosti",33880071
"Nova Gorica","D Oskrba z elektrièno energijo, plinom in paro",2442975
"Nova Gorica","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",4364891
"Nova Gorica","F Gradbeništvo",340072
"Nova Gorica","G Trgovina, vzdrževanje in popravila motornih vozil",16064011
"Nova Gorica","H Promet in skladišèenje",570116
"Nova Gorica","I Gostinstvo",4609254
"Nova Gorica","J Informacijske in komunikacijske dejavnosti",2883308
"Nova Gorica","K Finanène in zavarovalniške dejavnosti",576538
"Nova Gorica","L Poslovanje z nepremièninami",8143387
"Nova Gorica","M Strokovne, znanstvene in tehniène dejavnosti",895495
"Nova Gorica","N Druge raznovrstne poslovne dejavnosti",318223
"Nova Gorica","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",2822915
"Nova Gorica","P Izobraževanje",3045897
"Nova Gorica","Q Zdravstvo in socialno varstvo",2569327
"Nova Gorica","R Kulturne, razvedrilne in rekreacijske dejavnosti",11703838
"Nova Gorica","S Druge dejavnosti",656664
"Nova Gorica","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Nova Gorica","U Dejavnost eksteritorialnih organizacij in teles",0
"Nova Gorica","X Neznano",2331548
"Novo mesto","SKD Dejavnost - SKUPAJ",229668123
"Novo mesto","A Kmetijstvo in lov, gozdarstvo, ribištvo",35066
"Novo mesto","B Rudarstvo",0
"Novo mesto","C Predelovalne dejavnosti",168832291
"Novo mesto","D Oskrba z elektrièno energijo, plinom in paro",130677
"Novo mesto","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",4170086
"Novo mesto","F Gradbeništvo",1177448
"Novo mesto","G Trgovina, vzdrževanje in popravila motornih vozil",17750229
"Novo mesto","H Promet in skladišèenje",2440916
"Novo mesto","I Gostinstvo",5077654
"Novo mesto","J Informacijske in komunikacijske dejavnosti",3231628
"Novo mesto","K Finanène in zavarovalniške dejavnosti",886489
"Novo mesto","L Poslovanje z nepremièninami",5737887
"Novo mesto","M Strokovne, znanstvene in tehniène dejavnosti",2697781
"Novo mesto","N Druge raznovrstne poslovne dejavnosti",324844
"Novo mesto","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",4866330
"Novo mesto","P Izobraževanje",4017566
"Novo mesto","Q Zdravstvo in socialno varstvo",5833081
"Novo mesto","R Kulturne, razvedrilne in rekreacijske dejavnosti",1255592
"Novo mesto","S Druge dejavnosti",562851
"Novo mesto","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Novo mesto","U Dejavnost eksteritorialnih organizacij in teles",0
"Novo mesto","X Neznano",639707
"Odranci","SKD Dejavnost - SKUPAJ",6427355
"Odranci","A Kmetijstvo in lov, gozdarstvo, ribištvo",0
"Odranci","B Rudarstvo",0
"Odranci","C Predelovalne dejavnosti",5270909
"Odranci","D Oskrba z elektrièno energijo, plinom in paro",0
"Odranci","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",0
"Odranci","F Gradbeništvo",5569
"Odranci","G Trgovina, vzdrževanje in popravila motornih vozil",610951
"Odranci","H Promet in skladišèenje",899
"Odranci","I Gostinstvo",235399
"Odranci","J Informacijske in komunikacijske dejavnosti",28401
"Odranci","K Finanène in zavarovalniške dejavnosti",1443
"Odranci","L Poslovanje z nepremièninami",0
"Odranci","M Strokovne, znanstvene in tehniène dejavnosti",4282
"Odranci","N Druge raznovrstne poslovne dejavnosti",0
"Odranci","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",152164
"Odranci","P Izobraževanje",99925
"Odranci","Q Zdravstvo in socialno varstvo",0
"Odranci","R Kulturne, razvedrilne in rekreacijske dejavnosti",0
"Odranci","S Druge dejavnosti",3707
"Odranci","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Odranci","U Dejavnost eksteritorialnih organizacij in teles",0
"Odranci","X Neznano",13706
"Oplotnica","SKD Dejavnost - SKUPAJ",3596266
"Oplotnica","A Kmetijstvo in lov, gozdarstvo, ribištvo",1892
"Oplotnica","B Rudarstvo",0
"Oplotnica","C Predelovalne dejavnosti",1677399
"Oplotnica","D Oskrba z elektrièno energijo, plinom in paro",1478
"Oplotnica","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",30677
"Oplotnica","F Gradbeništvo",70773
"Oplotnica","G Trgovina, vzdrževanje in popravila motornih vozil",1036682
"Oplotnica","H Promet in skladišèenje",32163
"Oplotnica","I Gostinstvo",29981
"Oplotnica","J Informacijske in komunikacijske dejavnosti",134822
"Oplotnica","K Finanène in zavarovalniške dejavnosti",0
"Oplotnica","L Poslovanje z nepremièninami",41547
"Oplotnica","M Strokovne, znanstvene in tehniène dejavnosti",0
"Oplotnica","N Druge raznovrstne poslovne dejavnosti",0
"Oplotnica","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",285991
"Oplotnica","P Izobraževanje",176758
"Oplotnica","Q Zdravstvo in socialno varstvo",0
"Oplotnica","R Kulturne, razvedrilne in rekreacijske dejavnosti",10624
"Oplotnica","S Druge dejavnosti",20305
"Oplotnica","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Oplotnica","U Dejavnost eksteritorialnih organizacij in teles",0
"Oplotnica","X Neznano",45174
"Ormož","SKD Dejavnost - SKUPAJ",22933819
"Ormož","A Kmetijstvo in lov, gozdarstvo, ribištvo",1259489
"Ormož","B Rudarstvo",0
"Ormož","C Predelovalne dejavnosti",8021571
"Ormož","D Oskrba z elektrièno energijo, plinom in paro",574000
"Ormož","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",1361252
"Ormož","F Gradbeništvo",590578
"Ormož","G Trgovina, vzdrževanje in popravila motornih vozil",4551923
"Ormož","H Promet in skladišèenje",449977
"Ormož","I Gostinstvo",495088
"Ormož","J Informacijske in komunikacijske dejavnosti",496942
"Ormož","K Finanène in zavarovalniške dejavnosti",86894
"Ormož","L Poslovanje z nepremièninami",1813822
"Ormož","M Strokovne, znanstvene in tehniène dejavnosti",50731
"Ormož","N Druge raznovrstne poslovne dejavnosti",347870
"Ormož","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",907614
"Ormož","P Izobraževanje",705931
"Ormož","Q Zdravstvo in socialno varstvo",785811
"Ormož","R Kulturne, razvedrilne in rekreacijske dejavnosti",64201
"Ormož","S Druge dejavnosti",94292
"Ormož","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Ormož","U Dejavnost eksteritorialnih organizacij in teles",0
"Ormož","X Neznano",275833
"Osilnica","SKD Dejavnost - SKUPAJ",450951
"Osilnica","A Kmetijstvo in lov, gozdarstvo, ribištvo",2613
"Osilnica","B Rudarstvo",0
"Osilnica","C Predelovalne dejavnosti",6260
"Osilnica","D Oskrba z elektrièno energijo, plinom in paro",436
"Osilnica","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",0
"Osilnica","F Gradbeništvo",994
"Osilnica","G Trgovina, vzdrževanje in popravila motornih vozil",33630
"Osilnica","H Promet in skladišèenje",0
"Osilnica","I Gostinstvo",141965
"Osilnica","J Informacijske in komunikacijske dejavnosti",92017
"Osilnica","K Finanène in zavarovalniške dejavnosti",0
"Osilnica","L Poslovanje z nepremièninami",0
"Osilnica","M Strokovne, znanstvene in tehniène dejavnosti",0
"Osilnica","N Druge raznovrstne poslovne dejavnosti",78744
"Osilnica","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",84396
"Osilnica","P Izobraževanje",0
"Osilnica","Q Zdravstvo in socialno varstvo",2630
"Osilnica","R Kulturne, razvedrilne in rekreacijske dejavnosti",0
"Osilnica","S Druge dejavnosti",0
"Osilnica","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Osilnica","U Dejavnost eksteritorialnih organizacij in teles",0
"Osilnica","X Neznano",7266
"Pesnica","SKD Dejavnost - SKUPAJ",8775913
"Pesnica","A Kmetijstvo in lov, gozdarstvo, ribištvo",397141
"Pesnica","B Rudarstvo",0
"Pesnica","C Predelovalne dejavnosti",2177574
"Pesnica","D Oskrba z elektrièno energijo, plinom in paro",313
"Pesnica","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",306083
"Pesnica","F Gradbeništvo",145607
"Pesnica","G Trgovina, vzdrževanje in popravila motornih vozil",1756879
"Pesnica","H Promet in skladišèenje",1037082
"Pesnica","I Gostinstvo",571323
"Pesnica","J Informacijske in komunikacijske dejavnosti",243020
"Pesnica","K Finanène in zavarovalniške dejavnosti",10987
"Pesnica","L Poslovanje z nepremièninami",274647
"Pesnica","M Strokovne, znanstvene in tehniène dejavnosti",177259
"Pesnica","N Druge raznovrstne poslovne dejavnosti",0
"Pesnica","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",586495
"Pesnica","P Izobraževanje",313928
"Pesnica","Q Zdravstvo in socialno varstvo",482211
"Pesnica","R Kulturne, razvedrilne in rekreacijske dejavnosti",22683
"Pesnica","S Druge dejavnosti",56080
"Pesnica","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Pesnica","U Dejavnost eksteritorialnih organizacij in teles",0
"Pesnica","X Neznano",216601
"Piran/Pirano","SKD Dejavnost - SKUPAJ",56609421
"Piran/Pirano","A Kmetijstvo in lov, gozdarstvo, ribištvo",187802
"Piran/Pirano","B Rudarstvo",406322
"Piran/Pirano","C Predelovalne dejavnosti",2517695
"Piran/Pirano","D Oskrba z elektrièno energijo, plinom in paro",49596
"Piran/Pirano","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",3015658
"Piran/Pirano","F Gradbeništvo",610807
"Piran/Pirano","G Trgovina, vzdrževanje in popravila motornih vozil",5943042
"Piran/Pirano","H Promet in skladišèenje",987922
"Piran/Pirano","I Gostinstvo",25581386
"Piran/Pirano","J Informacijske in komunikacijske dejavnosti",2195696
"Piran/Pirano","K Finanène in zavarovalniške dejavnosti",600426
"Piran/Pirano","L Poslovanje z nepremièninami",1270205
"Piran/Pirano","M Strokovne, znanstvene in tehniène dejavnosti",844731
"Piran/Pirano","N Druge raznovrstne poslovne dejavnosti",78823
"Piran/Pirano","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",1876779
"Piran/Pirano","P Izobraževanje",2698193
"Piran/Pirano","Q Zdravstvo in socialno varstvo",1448173
"Piran/Pirano","R Kulturne, razvedrilne in rekreacijske dejavnosti",3451253
"Piran/Pirano","S Druge dejavnosti",1126132
"Piran/Pirano","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Piran/Pirano","U Dejavnost eksteritorialnih organizacij in teles",0
"Piran/Pirano","X Neznano",1718780
"Pivka","SKD Dejavnost - SKUPAJ",49666422
"Pivka","A Kmetijstvo in lov, gozdarstvo, ribištvo",182029
"Pivka","B Rudarstvo",0
"Pivka","C Predelovalne dejavnosti",30231107
"Pivka","D Oskrba z elektrièno energijo, plinom in paro",39540
"Pivka","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",692265
"Pivka","F Gradbeništvo",32003
"Pivka","G Trgovina, vzdrževanje in popravila motornih vozil",964419
"Pivka","H Promet in skladišèenje",36697
"Pivka","I Gostinstvo",349724
"Pivka","J Informacijske in komunikacijske dejavnosti",261876
"Pivka","K Finanène in zavarovalniške dejavnosti",25355
"Pivka","L Poslovanje z nepremièninami",13601674
"Pivka","M Strokovne, znanstvene in tehniène dejavnosti",140710
"Pivka","N Druge raznovrstne poslovne dejavnosti",3301
"Pivka","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",730477
"Pivka","P Izobraževanje",250356
"Pivka","Q Zdravstvo in socialno varstvo",4887
"Pivka","R Kulturne, razvedrilne in rekreacijske dejavnosti",271119
"Pivka","S Druge dejavnosti",16368
"Pivka","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Pivka","U Dejavnost eksteritorialnih organizacij in teles",0
"Pivka","X Neznano",1832515
"Podèetrtek","SKD Dejavnost - SKUPAJ",14089938
"Podèetrtek","A Kmetijstvo in lov, gozdarstvo, ribištvo",24330
"Podèetrtek","B Rudarstvo",0
"Podèetrtek","C Predelovalne dejavnosti",1065098
"Podèetrtek","D Oskrba z elektrièno energijo, plinom in paro",178
"Podèetrtek","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",265038
"Podèetrtek","F Gradbeništvo",189392
"Podèetrtek","G Trgovina, vzdrževanje in popravila motornih vozil",919311
"Podèetrtek","H Promet in skladišèenje",92837
"Podèetrtek","I Gostinstvo",10029036
"Podèetrtek","J Informacijske in komunikacijske dejavnosti",195879
"Podèetrtek","K Finanène in zavarovalniške dejavnosti",9150
"Podèetrtek","L Poslovanje z nepremièninami",60431
"Podèetrtek","M Strokovne, znanstvene in tehniène dejavnosti",6317
"Podèetrtek","N Druge raznovrstne poslovne dejavnosti",0
"Podèetrtek","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",503431
"Podèetrtek","P Izobraževanje",184612
"Podèetrtek","Q Zdravstvo in socialno varstvo",116204
"Podèetrtek","R Kulturne, razvedrilne in rekreacijske dejavnosti",14146
"Podèetrtek","S Druge dejavnosti",56008
"Podèetrtek","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Podèetrtek","U Dejavnost eksteritorialnih organizacij in teles",0
"Podèetrtek","X Neznano",358540
"Podlehnik","SKD Dejavnost - SKUPAJ",3289019
"Podlehnik","A Kmetijstvo in lov, gozdarstvo, ribištvo",14006
"Podlehnik","B Rudarstvo",0
"Podlehnik","C Predelovalne dejavnosti",1124684
"Podlehnik","D Oskrba z elektrièno energijo, plinom in paro",153
"Podlehnik","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",112478
"Podlehnik","F Gradbeništvo",0
"Podlehnik","G Trgovina, vzdrževanje in popravila motornih vozil",677768
"Podlehnik","H Promet in skladišèenje",56512
"Podlehnik","I Gostinstvo",37618
"Podlehnik","J Informacijske in komunikacijske dejavnosti",119991
"Podlehnik","K Finanène in zavarovalniške dejavnosti",0
"Podlehnik","L Poslovanje z nepremièninami",411092
"Podlehnik","M Strokovne, znanstvene in tehniène dejavnosti",3954
"Podlehnik","N Druge raznovrstne poslovne dejavnosti",6453
"Podlehnik","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",479424
"Podlehnik","P Izobraževanje",85363
"Podlehnik","Q Zdravstvo in socialno varstvo",10019
"Podlehnik","R Kulturne, razvedrilne in rekreacijske dejavnosti",0
"Podlehnik","S Druge dejavnosti",12925
"Podlehnik","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Podlehnik","U Dejavnost eksteritorialnih organizacij in teles",0
"Podlehnik","X Neznano",136579
"Podvelka","SKD Dejavnost - SKUPAJ",2810707
"Podvelka","A Kmetijstvo in lov, gozdarstvo, ribištvo",9372
"Podvelka","B Rudarstvo",0
"Podvelka","C Predelovalne dejavnosti",1356717
"Podvelka","D Oskrba z elektrièno energijo, plinom in paro",137256
"Podvelka","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",33751
"Podvelka","F Gradbeništvo",748
"Podvelka","G Trgovina, vzdrževanje in popravila motornih vozil",270968
"Podvelka","H Promet in skladišèenje",6387
"Podvelka","I Gostinstvo",87586
"Podvelka","J Informacijske in komunikacijske dejavnosti",311074
"Podvelka","K Finanène in zavarovalniške dejavnosti",8446
"Podvelka","L Poslovanje z nepremièninami",79740
"Podvelka","M Strokovne, znanstvene in tehniène dejavnosti",0
"Podvelka","N Druge raznovrstne poslovne dejavnosti",0
"Podvelka","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",274046
"Podvelka","P Izobraževanje",188273
"Podvelka","Q Zdravstvo in socialno varstvo",12910
"Podvelka","R Kulturne, razvedrilne in rekreacijske dejavnosti",6310
"Podvelka","S Druge dejavnosti",8847
"Podvelka","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Podvelka","U Dejavnost eksteritorialnih organizacij in teles",0
"Podvelka","X Neznano",18276
"Poljèane","SKD Dejavnost - SKUPAJ",21235210
"Poljèane","A Kmetijstvo in lov, gozdarstvo, ribištvo",5478
"Poljèane","B Rudarstvo",595116
"Poljèane","C Predelovalne dejavnosti",3833818
"Poljèane","D Oskrba z elektrièno energijo, plinom in paro",5313
"Poljèane","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",753822
"Poljèane","F Gradbeništvo",258103
"Poljèane","G Trgovina, vzdrževanje in popravila motornih vozil",962522
"Poljèane","H Promet in skladišèenje",30058
"Poljèane","I Gostinstvo",187914
"Poljèane","J Informacijske in komunikacijske dejavnosti",191358
"Poljèane","K Finanène in zavarovalniške dejavnosti",43145
"Poljèane","L Poslovanje z nepremièninami",12981525
"Poljèane","M Strokovne, znanstvene in tehniène dejavnosti",7413
"Poljèane","N Druge raznovrstne poslovne dejavnosti",0
"Poljèane","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",244182
"Poljèane","P Izobraževanje",275277
"Poljèane","Q Zdravstvo in socialno varstvo",777782
"Poljèane","R Kulturne, razvedrilne in rekreacijske dejavnosti",0
"Poljèane","S Druge dejavnosti",26536
"Poljèane","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Poljèane","U Dejavnost eksteritorialnih organizacij in teles",0
"Poljèane","X Neznano",55848
"Polzela","SKD Dejavnost - SKUPAJ",8237954
"Polzela","A Kmetijstvo in lov, gozdarstvo, ribištvo",30484
"Polzela","B Rudarstvo",0
"Polzela","C Predelovalne dejavnosti",2518179
"Polzela","D Oskrba z elektrièno energijo, plinom in paro",535
"Polzela","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",282885
"Polzela","F Gradbeništvo",156325
"Polzela","G Trgovina, vzdrževanje in popravila motornih vozil",3208208
"Polzela","H Promet in skladišèenje",19598
"Polzela","I Gostinstvo",165329
"Polzela","J Informacijske in komunikacijske dejavnosti",339847
"Polzela","K Finanène in zavarovalniške dejavnosti",11070
"Polzela","L Poslovanje z nepremièninami",54230
"Polzela","M Strokovne, znanstvene in tehniène dejavnosti",55316
"Polzela","N Druge raznovrstne poslovne dejavnosti",155142
"Polzela","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",304649
"Polzela","P Izobraževanje",295883
"Polzela","Q Zdravstvo in socialno varstvo",398218
"Polzela","R Kulturne, razvedrilne in rekreacijske dejavnosti",9587
"Polzela","S Druge dejavnosti",52385
"Polzela","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Polzela","U Dejavnost eksteritorialnih organizacij in teles",0
"Polzela","X Neznano",180084
"Postojna","SKD Dejavnost - SKUPAJ",64090672
"Postojna","A Kmetijstvo in lov, gozdarstvo, ribištvo",44925
"Postojna","B Rudarstvo",4312
"Postojna","C Predelovalne dejavnosti",36089205
"Postojna","D Oskrba z elektrièno energijo, plinom in paro",308001
"Postojna","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",3110442
"Postojna","F Gradbeništvo",1297347
"Postojna","G Trgovina, vzdrževanje in popravila motornih vozil",6464782
"Postojna","H Promet in skladišèenje",498940
"Postojna","I Gostinstvo",1538578
"Postojna","J Informacijske in komunikacijske dejavnosti",2484512
"Postojna","K Finanène in zavarovalniške dejavnosti",1087222
"Postojna","L Poslovanje z nepremièninami",1662149
"Postojna","M Strokovne, znanstvene in tehniène dejavnosti",344056
"Postojna","N Druge raznovrstne poslovne dejavnosti",2560032
"Postojna","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",2180709
"Postojna","P Izobraževanje",1801149
"Postojna","Q Zdravstvo in socialno varstvo",1275306
"Postojna","R Kulturne, razvedrilne in rekreacijske dejavnosti",19274
"Postojna","S Druge dejavnosti",160268
"Postojna","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Postojna","U Dejavnost eksteritorialnih organizacij in teles",0
"Postojna","X Neznano",1159463
"Prebold","SKD Dejavnost - SKUPAJ",35194320
"Prebold","A Kmetijstvo in lov, gozdarstvo, ribištvo",14054
"Prebold","B Rudarstvo",0
"Prebold","C Predelovalne dejavnosti",31872624
"Prebold","D Oskrba z elektrièno energijo, plinom in paro",1472
"Prebold","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",324130
"Prebold","F Gradbeništvo",32475
"Prebold","G Trgovina, vzdrževanje in popravila motornih vozil",1241326
"Prebold","H Promet in skladišèenje",14159
"Prebold","I Gostinstvo",447918
"Prebold","J Informacijske in komunikacijske dejavnosti",166847
"Prebold","K Finanène in zavarovalniške dejavnosti",0
"Prebold","L Poslovanje z nepremièninami",18017
"Prebold","M Strokovne, znanstvene in tehniène dejavnosti",4676
"Prebold","N Druge raznovrstne poslovne dejavnosti",83861
"Prebold","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",223711
"Prebold","P Izobraževanje",212589
"Prebold","Q Zdravstvo in socialno varstvo",324884
"Prebold","R Kulturne, razvedrilne in rekreacijske dejavnosti",49026
"Prebold","S Druge dejavnosti",34050
"Prebold","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Prebold","U Dejavnost eksteritorialnih organizacij in teles",0
"Prebold","X Neznano",128501
"Preddvor","SKD Dejavnost - SKUPAJ",3203934
"Preddvor","A Kmetijstvo in lov, gozdarstvo, ribištvo",10071
"Preddvor","B Rudarstvo",0
"Preddvor","C Predelovalne dejavnosti",343985
"Preddvor","D Oskrba z elektrièno energijo, plinom in paro",206055
"Preddvor","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",308938
"Preddvor","F Gradbeništvo",306342
"Preddvor","G Trgovina, vzdrževanje in popravila motornih vozil",456285
"Preddvor","H Promet in skladišèenje",12501
"Preddvor","I Gostinstvo",207762
"Preddvor","J Informacijske in komunikacijske dejavnosti",222588
"Preddvor","K Finanène in zavarovalniške dejavnosti",0
"Preddvor","L Poslovanje z nepremièninami",2367
"Preddvor","M Strokovne, znanstvene in tehniène dejavnosti",33162
"Preddvor","N Druge raznovrstne poslovne dejavnosti",24077
"Preddvor","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",187708
"Preddvor","P Izobraževanje",187175
"Preddvor","Q Zdravstvo in socialno varstvo",377543
"Preddvor","R Kulturne, razvedrilne in rekreacijske dejavnosti",33
"Preddvor","S Druge dejavnosti",4712
"Preddvor","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Preddvor","U Dejavnost eksteritorialnih organizacij in teles",0
"Preddvor","X Neznano",312630
"Prevalje","SKD Dejavnost - SKUPAJ",22589752
"Prevalje","A Kmetijstvo in lov, gozdarstvo, ribištvo",9763
"Prevalje","B Rudarstvo",0
"Prevalje","C Predelovalne dejavnosti",16452720
"Prevalje","D Oskrba z elektrièno energijo, plinom in paro",61995
"Prevalje","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",182648
"Prevalje","F Gradbeništvo",110583
"Prevalje","G Trgovina, vzdrževanje in popravila motornih vozil",2348902
"Prevalje","H Promet in skladišèenje",42627
"Prevalje","I Gostinstvo",675911
"Prevalje","J Informacijske in komunikacijske dejavnosti",994988
"Prevalje","K Finanène in zavarovalniške dejavnosti",22814
"Prevalje","L Poslovanje z nepremièninami",169157
"Prevalje","M Strokovne, znanstvene in tehniène dejavnosti",13353
"Prevalje","N Druge raznovrstne poslovne dejavnosti",54187
"Prevalje","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",380637
"Prevalje","P Izobraževanje",352528
"Prevalje","Q Zdravstvo in socialno varstvo",464752
"Prevalje","R Kulturne, razvedrilne in rekreacijske dejavnosti",14237
"Prevalje","S Druge dejavnosti",28434
"Prevalje","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Prevalje","U Dejavnost eksteritorialnih organizacij in teles",0
"Prevalje","X Neznano",209516
